region_en,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21
nursultan,106284,110251,111959,113023,114698,118352,122148,125840,127016,128232,128864,129861,132304,134665,137175,139804,141297,142119,144352,146324,148352,149588
almaty,211044,218243,222299,225044,228860,234516,240808,246665,249748,251823,253174,255383,258942,262040,265760,269462,272075,273866,277461,280894,284028,286509
shyment,102552,112160,116963,119605,123502,129441,135103,141379,143995,145933,147440,148953,151594,154456,156684,159154,160534,161280,163277,164737,166061,167767
akmola,35415,44447,46173,46810,48165,49700,53127,55675,57609,58260,58498,58780,59850,60633,61710,62726,63408,63553,64513,65841,66825,67680
aktobe,42838,46212,48437,50021,52197,55273,58490,61240,63078,64135,64719,65377,66468,67728,69009,70179,70685,71060,72049,72881,73776,74446
almaty_region,146239,154406,159283,162585,165351,168234,174185,178077,179199,179978,180570,181089,182496,184082,187209,188383,191307,192173,194056,195426,199638,201986
atyrau,25782,28634,29873,30561,31690,33643,35835,37535,38188,38715,39175,39878,40851,41709,42705,43892,44342,44704,45354,46356,46954,47696
east_kazakhstan,65126,72667,75572,76341,77188,80377,84651,91115,94424,96263,96821,97424,99910,103412,106409,108627,108935,109041,112210,117513,120591,122924
jambyl,49983,59404,63096,64047,66599,71710,77189,81256,82767,84672,84994,85509,86675,88075,89646,91652,92288,92341,94096,95474,96761,98070
west_kazakhstan,36765,41321,43623,44612,46095,49287,52565,54766,55769,56585,56859,57444,58425,59365,60403,61321,61730,61868,62684,63534,64037,64632
karagandy,109632,115368,116975,118097,119949,123671,127667,131264,132550,133353,133871,134831,136389,138509,140903,142933,143678,144352,146037,147651,149183,150525
kostanay,31996,37332,39773,41847,45453,49866,53622,57358,59123,60124,60509,61573,63127,65636,67945,69726,70341,71109,72710,74197,75692,76915
kyzylorda,31791,38170,40874,43804,48696,54861,62794,68415,70290,70410,70434,70528,71940,73197,74523,75772,76250,76325,77214,77740,78051,78279
mangistau,24148,26042,26907,27634,28348,29440,30778,31612,31935,32174,32453,32656,33124,33566,34075,34510,34707,34725,35220,35741,36188,36566
pavlodar,39780,45567,47195,48816,51140,54864,58577,61695,62729,63286,63380,63725,64828,66335,68062,69677,70566,70908,72209,73586,74606,75751
north_kazakhstan,33183,37287,39126,40011,41745,45122,49140,52992,54220,54937,55174,55891,57144,58670,60285,62081,62822,63001,64108,65083,66303,67363
turkestan,91566,105868,118772,125637,132528,138186,149002,158055,158969,159724,159798,159991,162944,165329,167853,170247,171856,172513,174273,175626,176257,176712
