region_en,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-10,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-18,2022-05-20,2022-05-22,2022-05-23,2022-05-24
nursultan,,3967,1708,1064,1675,3654,3796,3692,1176,1216,632,997,2443,2361,2510,2629,1493,822,2233,1972,2028,1236,1818,1028,496,1572,1362,1287,1229,1272,754,514,1302,1182,1171,907,1028,598,364,1081,1079,1126,1336,1795,996,384,1449,1634,1507,1557,1438,800,541,1351,1864,3068,5221,7116,4903,2867,7020,6574,5406,5170,7502,6045,2223,4236,3014,6551,6115,6756,5159,2585,6884,6865,5651,3835,3350,1774,1047,2869,1273,2224,2038,2170,1003,775,2246,1886,2156,2398,3037,1981,1220,3418,3150,3134,2532,2898,1610,1037,3648,3687,3088,2229,2690,1009,616,2666,2488,2289,1862,1865,872,697,1930,1536,875,2476,1801,1320,936,1069,2598,1889,1940,1559,1425,778,2131,1700,1429,1413,1287,1063,631,1379,1071,1050,875,870,547,459,793,750,644,530,571,408,277,611,530,471,463,421,353,252,498,427,238,570,451,305,227,575,476,492,467,516,351,195,653,524,576,677,657,630,325,935,847,752,750,479,477,275,648,644,567,631,780,531,356,1074,765,656,716,770,455,248,750,691,667,663,531,348,200,592,418,507,317,420,270,163,219,729,215,394,367,240,95,374,427,364,315,291,158,94,380,401,303,123,70,87,75,280,332,331,310,284,139,61,231,242,330,336,80,91,62,127,154,540,37,411,476,421,435,275,177,628,623,0,574,541,354,146,630,689,601,482,587,336,107,451,262,356,329,520,0,99,492,466,458,419,474,283,230,398,375,286,309,303,99,67,282,224,282,288,185,34,99,80,233,128,165,137,139,160,45,29,26,129,132,115,47,41,101,68,112,78,53,6,0,17,8,44,51,50,8,23,60,31,51,25,17,9,1,55,54,36,38,34,23,2,37,33,31,61,6,17,28,30,29,27,15,2,30,46,77,41,46,14,19,105,44,64,66,77,64,69,92,92,52,100,118,45,11,19
almaty,,7199,4056,2745,3816,5656,6292,5857,3083,2075,1351,2209,3559,3098,3720,3702,2613,1791,3595,3433,3134,2481,2893,1927,1722,2373,2294,2487,2237,2587,1649,1366,2029,1865,1858,2077,2173,1593,1190,2064,2962,4229,4592,4992,3732,2615,4829,5183,5853,5570,6029,3802,2547,5194,5408,7620,9924,10984,7954,6768,10631,11902,9293,12161,15182,16646,9773,10803,10272,13401,10936,5915,12202,9684,14766,15298,12522,7525,5590,5257,3606,5533,3106,4299,4796,4781,3527,2206,4762,4511,6344,7222,6803,7654,4508,7068,7765,7281,6830,7428,4601,3755,5758,8511,6806,5956,6097,3475,2174,5597,6108,5236,4468,4361,3031,1441,4065,3559,1519,5700,3736,2460,1755,1894,4345,3612,3363,3651,3130,2334,4917,4536,4015,3856,3408,2275,1508,3125,3129,2753,3067,3010,2015,1057,2438,2484,2278,2171,2489,1574,951,2590,2531,2255,2336,1827,1578,639,2086,1992,678,2964,1058,1095,646,2078,1907,1837,1831,1832,837,552,1659,1534,1540,1440,1265,855,509,1539,1408,1520,2068,473,1347,412,1227,1284,1223,1010,1072,698,292,1478,1471,1465,1054,1243,747,736,712,1384,1281,1023,1051,548,149,1138,856,994,992,965,573,244,348,1955,452,973,1056,542,214,1106,1505,986,1260,1143,742,317,707,1022,753,332,149,302,311,928,1064,1046,1230,1338,674,177,971,1025,1306,1189,399,422,195,335,398,402,337,263,919,883,1223,820,336,1437,1487,0,1517,1307,632,276,1341,1039,1112,1163,933,494,295,868,876,860,808,796,0,252,725,792,772,741,407,392,196,667,623,517,833,715,321,205,644,629,671,1044,609,36,442,194,509,502,482,562,399,227,152,108,99,397,437,558,190,93,310,322,390,232,355,82,0,172,57,162,234,274,80,56,227,369,323,98,193,49,22,119,304,197,229,213,106,63,144,196,122,404,46,90,200,179,169,96,62,12,62,79,124,90,121,40,2,54,44,51,81,25,30,95,76,54,30,75,213,123,21,4
shyment,,9608,4803,2642,3897,5939,5662,6276,2616,1938,1507,1513,2641,2862,2228,2470,1380,746,1997,1460,1324,1706,1390,458,0,924,875,603,850,1084,329,54,533,370,511,2345,3112,2322,2192,3282,3996,3625,3488,3369,2474,1653,3173,3066,3342,3946,3641,2128,1391,3810,3736,3585,3967,4026,2143,1603,2793,4924,4325,4373,6009,6137,3550,3817,3760,5919,6296,5977,3577,2568,5226,4781,5189,4196,3347,1931,1253,2718,990,2284,2366,2252,1413,832,2116,1730,1790,2548,2723,1954,1151,3117,2649,2410,2352,2556,1635,959,2492,2799,2756,2568,2065,1797,920,2359,2338,2236,1942,1933,970,663,1817,2003,312,3953,2512,1840,1467,1521,2763,2324,2456,2676,1397,1315,2696,2826,2633,2454,2538,2498,1742,4251,3786,5446,4387,4567,2807,2513,4506,4738,4565,5685,4269,2202,1601,4065,4020,3455,2589,1291,1387,381,1071,995,113,2118,1199,348,214,491,429,288,396,321,76,28,634,938,923,635,752,616,526,1074,1140,1130,1474,1193,572,333,958,930,732,736,749,2373,-1818,599,1064,944,1068,1199,919,390,1314,1394,1196,1651,1665,874,208,1349,1146,1764,1396,1162,1036,481,190,2520,395,653,873,514,119,907,1700,1338,950,805,337,125,284,153,234,90,131,280,78,370,507,265,284,143,80,23,142,181,323,222,34,171,10,10,25,146,414,44,133,168,-105,46,2,105,116,0,287,221,108,24,173,154,189,174,115,36,12,153,460,343,249,241,0,22,168,193,177,159,119,42,3,86,77,56,104,102,40,10,141,169,147,60,103,3,54,6,98,85,93,92,87,54,14,16,17,64,81,136,28,21,131,124,146,57,90,8,0,24,4,21,62,83,19,5,79,69,65,43,15,35,33,44,39,40,56,17,3,15,15,15,5,12,0,13,16,23,23,9,0,1,4,0,4,18,17,0,0,2,4,2,3,42,6,23,33,29,27,24,53,37,0,4
akmola,,9032,1726,637,1355,1535,3427,2548,1934,651,238,282,1070,783,1077,1016,682,145,960,1328,984,855,833,593,127,1032,801,728,988,999,360,46,705,647,564,667,678,204,47,961,1551,2377,2065,1982,865,352,1406,1618,1639,1461,1077,514,248,1281,1455,2262,3411,4961,3014,2604,5329,5500,4237,3747,4505,4398,2140,2458,2168,5460,6057,6292,3178,1485,5358,5280,5060,3414,2893,1573,733,1965,889,1957,1881,1878,898,541,1719,1769,1495,1699,1660,1069,517,1993,2060,2251,2077,2018,1291,844,2291,2683,2078,1835,2173,1416,894,1785,1501,1503,1394,1333,704,511,1533,1311,785,1733,1160,808,443,447,1468,1293,1250,1068,693,414,1373,1374,1328,1257,1053,603,396,951,964,925,863,765,504,232,741,696,717,718,558,384,143,584,591,483,555,480,287,222,494,515,312,536,412,241,150,576,564,626,561,490,426,193,569,562,494,440,487,347,210,578,508,592,458,437,331,152,441,435,411,396,391,220,175,477,532,442,442,403,261,166,423,443,550,452,457,244,176,400,311,420,297,508,533,453,177,1481,472,797,885,699,714,1067,1079,1082,1006,975,636,432,955,1027,803,382,371,488,422,878,916,902,891,708,501,287,465,671,666,523,252,109,68,191,359,1104,396,392,927,560,611,446,176,519,685,0,640,502,283,190,585,440,520,424,401,210,186,330,414,370,273,539,0,155,512,458,351,297,394,197,161,333,277,212,396,237,181,111,307,234,275,315,273,21,170,137,237,246,196,364,193,193,89,59,142,189,191,266,74,44,145,99,126,82,100,36,0,73,27,60,85,113,30,2,167,234,106,67,54,28,18,93,52,84,79,81,19,20,102,47,62,252,9,50,43,47,32,76,56,12,53,63,33,101,122,5,0,132,67,62,68,24,21,56,75,23,38,29,49,30,4,6
aktobe,,3374,2225,1584,2176,3076,3217,2750,1838,1057,584,658,1091,1260,1281,1170,506,375,989,832,895,670,854,496,457,851,770,823,865,925,531,210,787,683,583,702,1401,1243,1145,1673,1634,1619,1666,1371,948,665,1508,1667,2014,1768,1300,1320,1062,1613,1745,2176,2365,2808,1917,1289,2421,2475,2056,2600,3175,3498,1710,2387,2023,4108,5018,7078,4938,3240,5331,6607,6367,4775,3870,3233,2828,3065,1519,2687,2611,2405,1575,1047,1975,1947,1827,1879,2094,1378,839,1800,2282,2155,2513,2585,1796,1341,2941,3181,2681,2358,2315,1474,913,2017,1748,1734,1915,1917,1203,666,1687,1628,527,2542,1510,1682,1445,1540,2042,1923,1547,1597,1241,907,1760,1720,1486,1369,1126,943,622,1336,1290,1096,1016,879,780,433,968,1007,921,816,734,464,350,913,852,743,900,779,433,267,681,650,230,1182,713,538,315,944,883,921,943,1003,682,341,962,907,787,918,897,480,317,884,901,812,722,648,353,184,708,724,686,672,613,318,126,772,640,638,643,519,282,95,563,666,695,623,685,532,207,685,518,684,601,569,299,129,111,992,134,623,640,404,176,656,669,488,488,437,196,59,381,424,433,106,115,195,106,351,327,464,574,835,400,252,730,934,938,817,203,392,131,288,244,301,388,595,1019,587,651,306,138,611,597,0,508,446,214,116,527,525,603,552,509,235,143,462,451,509,429,552,0,134,530,386,372,324,379,182,93,301,326,247,399,371,172,86,452,481,391,358,349,1,172,81,385,398,323,353,339,304,43,111,9,854,754,459,129,63,388,338,267,156,166,25,0,23,12,34,143,177,11,10,64,77,57,52,37,16,0,21,5,20,24,62,14,2,71,54,103,248,2,89,66,81,136,152,118,34,99,140,128,148,185,34,3,109,66,117,101,48,63,62,73,87,28,144,318,184,50,20
almaty_region,,8167,4877,3302,2766,2883,5951,3892,1122,779,592,519,1407,1586,3127,1174,2924,866,1883,1370,4212,2348,1991,2392,724,2755,1905,2818,1877,1487,1409,493,2048,1197,594,3298,3416,2041,1656,4267,3327,4392,3658,5666,4015,3207,5139,4974,4679,4857,4611,2218,1945,4951,2984,5764,6188,7221,5013,3161,6776,7055,6767,9367,9122,10348,5979,8300,6584,11677,11534,12488,8708,5757,11147,10523,8249,0,13561,5347,4079,6420,1957,5049,4494,3772,2854,1739,4320,3753,3887,3231,3785,4044,2366,4850,5309,5467,5194,5635,3509,1883,5117,6806,6366,5529,5332,3252,2444,4809,4216,4213,3942,4452,3090,1514,3478,3509,2099,5981,3883,2558,2832,2335,4113,3832,3548,3635,2712,1936,4235,4407,3674,3733,3305,2105,1658,3406,2717,2895,2552,2587,2046,1819,3066,2466,2541,2442,2094,1726,1255,2253,1940,2016,2051,2009,1184,1167,2062,1797,755,2738,1861,1617,1230,2227,1858,2313,2169,2179,1389,1128,2135,1926,2091,2339,2015,1691,1177,2232,2180,2010,2268,1856,1483,846,1919,1837,1978,1884,2133,1540,943,1913,1788,1846,1862,1870,1571,905,1861,1720,1769,1553,1737,1074,766,1641,1114,1684,981,1328,734,649,399,2516,620,1819,1535,1582,1244,1922,1939,1451,1738,1456,690,689,1432,1195,1238,513,821,1046,509,970,1068,904,947,1413,1104,779,1236,1083,1415,1424,1243,711,740,981,1449,2178,921,510,1872,1170,1641,1234,1049,1762,2067,-84,2059,2507,1597,1413,1737,2106,1765,2116,2135,1672,1431,2488,2302,2482,2189,1574,0,3356,2531,2556,3231,2851,3653,2513,2183,3279,2534,1308,4285,2410,3071,2894,2298,1479,1436,1723,1116,82,955,1282,924,861,958,660,648,318,309,444,462,740,690,795,476,373,580,622,1139,409,867,573,0,673,78,570,603,847,196,171,467,349,603,354,415,404,182,479,353,448,532,548,255,492,-26,360,466,1467,155,285,545,499,246,618,263,152,249,289,386,423,320,321,154,380,221,318,165,168,68,168,99,204,80,310,471,611,202,72
atyrau,,2852,1239,688,1129,1953,2192,1700,653,527,460,703,973,858,996,1187,450,362,650,1002,598,742,995,570,606,704,940,843,844,983,657,637,708,806,676,660,845,549,184,893,642,1085,1102,1019,540,398,1005,952,872,886,810,791,574,921,1010,1467,1551,1718,1017,637,1868,1874,1819,2184,3153,3240,2186,2162,2640,3236,3432,3275,2866,1292,2949,2789,3094,1383,1522,1118,512,1382,644,1270,1234,910,447,476,837,1493,1738,1559,1488,1296,571,1313,1355,1393,1612,1848,933,478,2061,1858,2213,1856,2071,1030,593,1951,2164,2190,2668,2919,1372,881,2303,1971,544,3530,2482,1538,997,1156,1598,2071,1653,1511,1038,784,1733,1834,1606,1388,1246,878,512,1429,1116,1086,946,716,779,543,970,867,914,809,905,592,459,805,793,661,770,717,422,429,731,701,153,1222,584,348,224,564,702,582,484,521,385,149,596,532,471,437,426,279,117,489,437,434,403,375,247,98,404,392,397,463,416,217,163,462,455,681,697,369,224,85,433,358,322,361,437,228,80,371,350,314,235,264,171,115,28,580,110,416,351,207,105,351,352,429,456,466,281,131,450,391,276,159,157,188,113,349,337,343,328,182,171,72,292,346,239,341,144,237,117,156,101,201,33,389,576,319,280,176,69,412,326,0,326,283,163,49,305,321,269,259,271,146,73,249,220,219,258,161,0,53,202,186,201,135,177,93,37,143,107,125,172,124,93,42,144,119,139,131,89,1,110,30,131,99,100,110,68,61,33,27,11,99,88,95,49,32,78,63,67,67,80,19,0,30,13,13,66,71,10,4,58,34,61,43,29,26,4,38,35,39,44,25,13,6,21,40,39,80,7,22,44,12,40,31,6,0,31,43,16,38,35,13,7,38,31,30,22,3,0,28,19,23,3,29,38,17,4,0
east_kazakhstan,,7541,2905,769,847,3189,4274,6464,3309,1839,558,603,2486,3502,2997,2218,308,106,3169,5303,3078,2333,3878,1151,234,2339,2151,2042,1696,2150,851,162,1645,1025,1070,773,2017,1813,1637,5944,5713,5950,6267,5622,2565,933,4761,4451,3662,5069,4425,1547,836,5972,4651,5299,6432,7030,2062,811,7361,6383,5800,7634,9342,7386,1774,3001,2054,10772,12321,10842,4846,3086,10875,9601,10362,6763,5689,2692,1356,4626,1826,4614,4490,3432,2438,1210,4939,5116,4764,4151,3894,1915,906,3958,3630,4292,3902,4859,2203,1265,4378,5816,5492,5084,5671,3192,2092,5336,4912,4951,5219,6093,3824,3527,5656,5003,3779,7035,6011,4410,3655,3339,4629,3594,3364,5485,4762,3448,5378,7785,6338,6794,6923,4436,3275,5034,6401,5416,6643,7092,5168,4220,7050,7669,8078,7461,7292,5005,3911,6800,5777,6411,6217,7800,6077,5888,6709,7750,4403,10000,6900,4757,4264,5569,5666,5895,5790,5427,2812,3315,3785,3525,3721,2792,3063,1948,1867,2608,3482,3456,3146,3531,2026,2176,2094,2155,1558,2075,2018,1433,770,1954,2080,2989,4620,2919,692,321,361,458,365,288,304,216,40,291,362,302,264,330,59,19,107,385,43,233,260,59,22,281,242,161,209,108,68,23,114,141,117,20,10,12,17,139,142,111,113,128,35,21,115,124,83,110,45,7,9,10,14,140,0,273,217,200,258,40,26,203,397,0,417,276,82,11,179,232,201,180,242,41,17,152,252,389,348,486,10,56,314,310,255,278,259,92,29,274,163,164,213,160,79,25,152,159,145,172,120,5,34,18,164,186,125,145,153,54,28,8,5,107,89,0,0,0,0,0,33,7,26,1,0,3,2,23,114,4,0,4,7,10,25,30,11,10,12,30,27,46,37,37,8,5,26,55,57,91,13,27,46,38,33,21,2,0,18,10,15,27,20,20,0,28,33,25,33,5,1,26,18,32,9,57,119,51,10,4
jambyl,,9421,3692,951,2552,5111,5479,4067,1511,1905,322,515,1166,1400,1571,2006,636,53,1755,1378,1287,1309,1318,763,320,1095,1456,1098,1405,1300,963,77,1543,1217,1207,1529,1376,1502,495,1523,2916,3015,1863,1687,1082,380,1891,2369,3526,3170,2651,1475,1263,4360,3486,4791,3940,4535,2533,1609,4803,4686,4104,5366,6469,5906,2979,3557,2626,5791,7593,5420,3958,1591,5540,5847,5332,3798,2850,1852,745,3287,464,2588,2487,2279,1160,295,2204,2039,2221,1921,2239,1337,517,3118,2354,2931,2256,2805,1634,865,2136,4277,3307,3799,3119,2173,1067,3043,2965,2955,2589,2576,2112,924,3929,2529,2055,5581,4196,2902,1345,851,4423,3472,3374,3111,2670,1681,3238,3525,3545,2925,2365,1893,863,2632,2275,1987,3010,2208,1056,271,2650,3392,4318,4579,5569,3084,1056,4023,5051,4300,5178,4214,2562,1701,2974,2474,631,3751,2531,767,521,2191,2611,4210,3558,3881,1512,1274,3117,2808,3004,2089,2452,1886,1118,3781,3219,3784,4752,3237,3283,1700,4093,2372,3251,3318,2733,1504,2093,3760,3709,2950,2709,2692,1847,608,2671,1911,848,1674,1422,900,816,1066,1010,2981,2692,3332,2473,2424,385,2615,1280,1809,1617,1147,1276,752,993,3454,2546,2468,1254,1995,385,1957,1634,1277,599,80,80,152,164,148,26,185,146,0,38,38,92,39,55,65,6,19,30,56,0,86,126,77,78,20,0,230,196,0,131,160,67,10,151,158,164,192,151,81,10,176,146,150,169,95,0,15,128,156,116,107,134,49,15,102,114,85,109,82,26,13,151,120,94,104,147,5,2,10,19,36,28,57,74,27,7,10,23,28,31,31,33,1,70,0,79,7,12,0,0,0,0,12,6,0,0,6,1,0,2,5,-4195,0,0,117,3,44,1,54,0,0,1,1,3,4,2,2,0,40,51,37,14,0,37,40,31,30,29,25,0,35,23,39,23,6,4,40,19,52,15,90,93,70,2,4
west_kazakhstan,,4556,2302,989,1483,3192,3278,2201,1003,816,274,585,981,940,1038,918,409,138,816,850,503,595,593,214,107,500,435,427,391,442,187,53,477,456,469,451,820,568,288,943,1009,1029,1134,993,520,348,885,852,768,876,683,435,213,911,1057,1265,1680,1961,944,623,2257,2168,1897,2571,3708,3690,1964,2861,2061,4018,4353,5625,2729,1704,4851,4946,3403,2165,1806,728,602,1473,694,1309,1112,1147,777,275,1282,1133,1115,1107,1273,663,310,1495,1466,1409,1512,1786,812,551,2399,2253,1867,1525,1808,685,406,1585,1377,1329,1224,1262,629,206,1333,1061,415,1873,1097,725,225,367,1323,1074,1050,1067,666,381,1561,1262,1127,914,1078,509,199,1016,763,775,621,668,299,120,745,628,607,499,527,300,147,542,598,515,588,667,431,249,619,565,117,1046,646,293,190,721,694,721,662,642,320,144,594,678,737,584,682,349,141,676,708,617,584,566,253,123,589,591,561,508,417,295,134,609,550,629,583,557,250,133,655,435,710,518,396,184,117,384,434,353,333,313,133,110,75,630,99,300,297,128,58,380,333,280,264,289,92,57,261,203,233,76,71,63,52,275,275,272,242,205,58,51,281,348,384,309,75,130,70,119,153,273,464,358,860,691,600,255,159,771,717,0,565,659,274,117,629,509,400,476,434,254,89,405,306,296,247,327,0,46,279,250,265,192,232,90,54,277,226,210,248,234,104,30,235,244,182,214,147,0,136,41,217,181,176,171,135,73,33,31,29,158,140,104,48,23,71,113,86,99,69,70,0,174,35,78,116,168,75,15,121,72,225,119,119,34,28,90,76,73,60,42,11,13,47,16,27,46,7,11,12,7,5,10,10,0,21,15,8,9,13,616,-605,27,7,6,18,12,12,12,9,17,5,22,56,36,22,6
