region_en,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01
nursultan,21840,24392,26106,27359,30217,34774,39622,44048,46669,48915,49833,52018,58561,62588,65541,69560,71428,72304,75473,78283,81035,83407,86316,87560,88273,89743,91563,93223,94801,96199,97018,97418,98571,99851,101125,102586,104430,105747,106527,109336,111683,113704,115818,118052,119426,120106,122534,124403,126238,127907,129936,131279,132286,134470,136535,138446,140409,142781,144391,145342,148045,150169,152063,153856,155849,157267,157821,158834,159602,162328,165279,168806,171033,172351,175843,179177,182724,186891,191582,194547,195799,200337,202267,206783,210387,215460,217751,219488,224317,228368,233141,237987,243519,247427,249733,255687,261380,266515,270489,274713,276678,278039,281967,284957,287898,290222,292956,294658,295580,298404,300519,302960,305114,307705,309213,310646,313823,316614,318111,321978,324980,327215,328767,330938,335075,338471,341444,344301,346205,347343,350395,353405,355909,358205,360200,361778,362627,364819,366636,368368,369952,371622,372979,373913,375612,377635,379422,380895,382473,383821,384664,386774,388492,390052,391425,392697,393740,394406,395853,396947,397716,399196,400209,400927,401537,402606,403552,404379,405104,405844,406400,406771,407587,408290,408979,409569,410103,410542,410833,411542,412129,412674,413265,413666,414161,414431,415047,415611,416179,416695,417329,417744,418023,418798,419473,420069,420806,421546,422120,422392,423350,424222,425128,425835,426499,426859,427152,428093,428721,429405,429956,430559,430957,431311,431780,433202,433608,434395,435177,435632,435897,436680,437472,438123,438871,439487,439883,440136,440805,441324,441844,442040,442249,442497,442682,443379,443918,444372,444862,445255,445493,445657,446114,446551,446945,447270,447406,447463,447562,447763,447967,448821,448890,449292,449814,450114,450448,450670,450772,451066,451381,451717,452091,452352,452485,452588,452865,453147,453454,453693,453861,453976,454044,454433,454736,455104,455434,455835,456065,456177,456702,457197,457739,458227,458707,458953,459104,459781,460444,461041,461714,462197,462690,462853,463183,463627,464044,464376,464775,464778,464986,465132,465598,465956,466371,466718,467096,467321,467501,467632,467873,468387,468823,469236,469480,469654,470230,470641,471073,471251,471625,471737,471737,472009,472164,472447,472792,473223,473418,473570,474010,474357,474736,475005,475090,475141,475161,475327,475421,475545,475636,475695,475746,475769,475863,475915,475991,476178,476203,476289,476359,476416,476489,476561,476583,476616,476661,476754,476813,476864,476919
almaty,46854,53909,63785,69761,78922,89102,98729,107744,115425,120286,122625,128439,136514,141188,145765,150093,153659,155820,160316,164542,168498,172383,176440,178506,179873,182493,184990,187378,189687,191967,193726,194903,196543,198234,199922,202000,204311,206354,208162,211251,214501,216812,220729,226135,230361,233246,238309,242975,247917,252204,257085,260613,263073,267926,271275,275451,279440,283318,286153,288760,293224,298003,302257,307661,313491,318324,321113,324260,327303,333136,339067,345291,348589,351103,355424,359477,364434,371201,379103,384940,389907,399451,404699,415336,426171,440555,450593,457582,470775,482057,495184,507550,517667,527671,535932,547991,562628,575581,585155,594281,601146,605603,612186,619144,624906,630426,636114,639657,642044,647641,653229,659647,665472,671834,677238,680997,689202,696873,701114,711823,719300,723452,727239,730901,740313,748133,755420,762294,766354,769114,775636,782451,788872,794703,799731,803036,805051,809747,814080,817427,821717,825768,828757,830287,833510,837453,841402,844769,848482,850816,852561,857693,862223,866572,870911,874373,876617,877749,881284,884962,886639,891202,893661,895258,896069,899300,902062,904548,907072,909885,911191,911923,915078,917766,920220,922535,924646,925928,926752,929284,931567,933684,936542,937788,939715,940372,942308,944680,946613,948425,950092,951061,951627,953318,955410,957064,958538,959878,960748,961251,962916,964717,966372,967790,969014,969721,969923,971355,972507,974182,975425,976594,977229,977539,978179,980770,981458,982880,984259,984949,985289,986670,988275,989543,990908,992017,992577,992878,994167,995453,996960,997424,997877,998289,998605,1000343,1001772,1003081,1004601,1006034,1006553,1006850,1007996,1009567,1010678,1011684,1012175,1012614,1012852,1013226,1013727,1014491,1015163,1015921,1017659,1019181,1020310,1021330,1021835,1022878,1024348,1025868,1027167,1028203,1028742,1029019,1030067,1030813,1031517,1032247,1032670,1033000,1033241,1033779,1034286,1035046,1035787,1036886,1037395,1037743,1039094,1040328,1041775,1043220,1044280,1044969,1045348,1046619,1047815,1048718,1050014,1051295,1052334,1052716,1052914,1054044,1054979,1055994,1056894,1056894,1057430,1057924,1058952,1059737,1060517,1061391,1061979,1062359,1062542,1062814,1063021,1063903,1064622,1065847,1066184,1066414,1067181,1067924,1068858,1069479,1070340,1070492,1070492,1070935,1071110,1071481,1072183,1072797,1073069,1073147,1073604,1073969,1074455,1074970,1075289,1075426,1075523,1075937,1076341,1076685,1077065,1077435,1077585,1077635,1077954,1078169,1078413,1079041,1079115,1079363,1079757,1079996,1080140,1080240,1080397,1080437,1080585,1080826,1081115,1081271,1081480
shyment,12300,13318,15176,17468,21272,26038,31344,38465,44200,47852,50423,53275,58174,60705,62290,63948,64861,65093,66800,68462,69691,71444,73584,74556,74558,76079,77103,78015,79067,79926,80338,80417,82651,84824,86885,89043,91092,92364,93227,95665,98949,101516,104894,108232,110257,111515,115368,118966,122046,125095,128799,131270,132210,135900,138965,141216,143714,146201,147759,148969,152867,156618,159881,163346,167246,171077,172341,174157,175901,179341,183257,186958,188648,190864,194049,197882,201979,205792,209770,212018,213643,217523,219010,223796,228743,234391,238017,240512,246559,251210,256189,261673,267095,271138,273384,278873,284289,289512,294434,299581,302550,304391,308516,312361,316264,319576,322868,324657,325539,328505,331436,333931,336393,338808,340209,341141,344147,347248,348051,352415,355503,357146,358214,359479,362956,365742,368341,371379,372843,373736,376284,378882,381322,383674,385723,386905,387491,389725,391932,394235,396417,398718,399885,400687,403230,405866,408181,410929,413223,414408,415129,417708,420705,423422,426388,429011,430347,430960,434467,438659,439862,447178,451249,453457,454848,459355,463746,467742,472009,476111,478174,478880,482601,486496,490086,494351,497756,499296,500456,503984,506855,509285,511479,513919,514981,515772,517253,518929,519915,520524,521221,521674,521835,522568,523696,525109,526314,527382,527907,528286,529496,530893,531675,533267,534576,535107,535448,536269,537052,537856,538524,539095,539434,539519,539587,541196,541536,543025,544519,545526,546105,547596,549268,550707,551955,553218,553682,554080,555314,556953,558173,558744,559343,560005,560324,562315,564545,566019,567547,568728,569136,569430,570592,572074,573593,574793,575116,575550,575595,575823,575998,576326,577098,577324,577873,578446,578841,579144,579292,579481,579982,580315,580686,580908,581120,581139,581291,581505,581705,581933,582033,582086,582093,582275,582473,582679,582947,583128,583155,583170,583267,583489,583613,583751,584002,584051,584063,584242,584452,584610,584784,584990,585037,585049,585219,585633,586078,586432,586711,586711,586804,586813,586996,587198,587406,587621,587874,587960,587988,588024,588059,588282,588383,588675,588707,588717,588889,589100,589353,589469,589598,589613,589613,589641,589666,589719,589862,589982,590052,590065,590166,590250,590333,590425,590573,590604,590621,590742,590817,590884,590954,591020,591035,591047,591116,591164,591198,591299,591301,591361,591407,591479,591557,591580,591607,591633,591699,591749,591804,591860,591905
akmola,8463,9273,9874,10289,11176,12941,15042,17373,18296,18699,18737,18905,20035,20606,21184,21713,21735,21748,21866,22416,23113,24836,26806,27711,27818,29539,30617,31782,32878,33955,34478,34707,35487,36318,36993,38045,38896,39205,39256,40138,41287,42161,43511,45959,46839,47459,50356,53356,55308,56895,58448,59176,59527,61695,63654,65129,66429,67840,68252,68702,69976,71297,72854,74476,76312,77464,77891,78404,78710,80795,82951,85272,86546,87143,89382,91742,94484,97375,100519,102102,103057,106727,108286,112416,115763,119549,121646,122784,126432,129425,133708,137964,142400,145068,146367,151261,156060,160575,164162,167626,169209,170466,173423,175939,178520,180857,183117,184496,185203,187381,189300,191593,193594,195357,196309,196966,199219,201339,202705,205282,207255,208520,209065,209777,212581,214753,217203,219442,220813,221318,223398,225313,227443,229376,230838,231826,232156,233979,235604,236901,238376,239751,240544,240901,241927,243213,244367,245451,246609,247137,247444,248647,250102,251479,252737,253866,254383,254646,255751,256723,257435,258633,259371,259839,260083,261077,261966,262749,263569,264187,264549,264698,265515,266142,266701,267258,267882,268257,268422,269094,269694,270335,270820,271309,271597,271691,272150,272760,273407,273926,274499,274846,274996,275640,276266,276870,277411,277978,278294,278468,278959,279591,280161,280693,281235,281530,281671,282263,282644,283229,283672,284118,284331,284461,284684,285664,285852,286477,287065,287274,287427,288025,288505,289085,289568,290052,290228,290321,290758,291301,291930,292113,292263,292492,292639,293523,294464,295286,296164,297019,297529,297771,298754,299887,300827,301719,302279,302479,302583,302742,303092,305163,306011,306817,308136,308913,309893,310384,310694,311380,312026,312838,313426,314069,314446,314589,315036,315563,316132,316650,317476,317916,318137,318723,319208,319762,320201,320843,321154,321365,322007,322606,323172,323800,324448,324794,324992,325636,326300,326837,327632,328175,328458,328635,329275,329925,330607,331125,331593,331630,331971,332276,333166,333613,333955,334372,334764,335004,335139,335259,335355,335798,336149,336531,336689,336871,337163,337544,338019,338261,338535,338571,338571,338763,338830,339033,339340,339779,339870,339959,340237,340444,340676,340906,341022,341075,341115,341298,341453,341590,341743,341954,341995,342031,342171,342350,342417,342760,342802,342937,343167,343314,343396,343528,343568,343578,343676,343778,343886,343991,344143
aktobe,10673,11669,12293,12441,13455,16109,19075,21332,22907,23598,23894,24511,26359,27290,28044,28632,28768,28837,29379,29981,31111,32499,33656,33996,34182,35389,36495,37231,37846,38432,38723,38801,39162,39573,40123,40586,41382,41682,41843,42485,43042,43623,45269,47397,48856,49805,52578,55113,57586,59758,61326,62923,63711,65970,67597,69310,70855,72681,73744,74355,76323,77978,79557,81364,82873,83995,84737,85613,86452,88342,90526,92650,94189,95034,96893,98810,100789,102928,105528,107352,108669,111051,112312,115008,118080,121037,123603,124740,127822,130684,133934,137821,142632,145909,147879,152737,157914,163235,167562,171613,174147,176040,179457,182840,186046,188789,191912,193519,194949,197569,199980,202166,204429,206455,207698,208384,210802,213034,214020,217173,219394,221109,222203,223832,226596,229739,232693,235304,236961,237690,239711,241575,243068,244551,245900,246662,247146,248547,249968,251282,252718,254939,257055,258277,260649,263096,265422,267148,268619,269580,270291,271875,273377,275030,277293,278761,279868,280511,282366,283904,284289,286456,287851,288823,289234,290691,292101,293262,294414,295715,296233,296641,297982,299041,300158,301195,302072,302558,302876,303844,304900,305846,306657,307463,308011,308378,309359,310351,311321,312212,313237,313663,313944,315081,316102,316865,317723,318498,318929,319134,320070,320973,321914,322710,323488,323862,324017,324873,325595,326353,326956,327585,327873,327962,328116,329462,329671,330448,331053,331336,331472,332188,332944,333730,334447,335037,335437,335618,336494,337108,337849,338122,338429,338721,338838,339819,340623,341131,341984,342710,342971,343186,343808,344612,345142,345744,345877,346252,346314,346519,346741,347156,347681,348201,349203,349753,350322,350751,351014,351731,352472,353309,354011,354668,355126,355378,356055,356861,357584,358096,358384,358590,358751,359313,359941,360524,361079,361952,362306,362553,363230,363893,364763,365460,365969,366262,366416,367033,367610,368297,368827,369467,369754,369916,370639,371347,372016,372577,373211,373216,373430,373532,374210,374706,375123,375538,375885,376134,376226,376367,376480,377047,377636,378033,378285,378374,378940,379489,380248,380831,381508,381601,381601,381919,382138,382471,383121,384284,384464,384634,385241,385879,387219,388452,388623,388671,388749,388924,389025,389223,389393,389557,389584,389586,389706,389790,389852,390128,390133,390189,390231,390287,390373,390426,390459,390468,390513,390547,390598,390633,390709
almaty_region,22084,22786,24210,27947,32273,39877,49577,60238,65220,69412,71437,74043,81186,85297,91417,93906,94889,95255,98309,101846,105027,108377,111933,113339,113849,116855,119072,122278,124836,126892,127612,127740,129432,132091,133246,135291,137145,138213,138997,141901,143741,146859,149998,153833,156850,158387,163069,167643,171927,175291,177960,179764,180877,184009,186059,189341,192162,195334,197332,198352,201435,205356,208094,212351,216981,220889,222505,225613,227445,231296,235579,240318,243888,245393,249370,253784,258405,263064,268079,271254,273683,280572,283122,291552,299514,308105,315354,319094,328931,338082,349545,359646,369375,379216,383436,394429,406357,416695,425225,433742,439468,442999,449693,457562,464523,470638,476395,480129,482451,488093,493148,497738,501924,506439,509288,510862,515560,520675,523803,530661,536912,540629,543573,546510,553240,559394,564707,569808,572644,574061,577973,581401,584336,587920,591094,592889,594284,597413,600494,603426,606788,613577,618108,619923,624318,628871,632863,636250,639565,641992,643022,646658,651339,656167,660763,665127,667139,668582,672557,676146,678126,682250,685454,687248,688357,691518,694367,697602,700251,703051,704562,705542,708437,710793,713294,715499,717648,719172,719856,722197,724803,726739,728886,731086,732776,733491,735907,738574,740699,742891,745065,746057,746783,749162,751442,753595,755754,757747,759118,759673,761984,763879,765914,768271,770024,771193,771803,773984,775464,777531,779052,781145,782342,783013,783751,787411,788123,790476,792779,794219,794912,796796,798941,800875,802804,804518,805591,806296,808544,810447,812227,812822,813565,814699,815186,817131,818883,820162,821539,823433,824962,825860,827883,829835,831540,833544,834515,835030,835568,836392,837161,839629,840264,841442,843559,845203,847051,848050,848545,849839,851510,852860,854438,856201,856903,857431,858518,859800,861123,862230,863186,863566,863831,864776,865795,867170,868541,870121,871087,871650,873600,875166,877191,878717,880696,881585,882159,884107,885840,887231,889234,890489,891468,891831,893185,894747,896274,898549,900045,900287,901124,901792,903356,904983,906030,907465,908522,909817,910431,911245,911542,913364,915897,917773,919701,920637,922629,924780,927758,930056,932302,933696,933696,935506,935601,936361,937246,938937,939756,940638,941960,942934,943931,945047,945840,946504,947162,947912,948422,949272,950746,951885,952485,952941,954339,955831,957284,960946,961282,962150,963441,964424,965164,966346,966941,967265,968260,969217,969947,970623,971055
atyrau,6461,7000,7284,7790,8612,9612,10797,11791,12783,13478,13994,14116,14256,14313,14340,14398,14404,14486,14668,15268,16739,18601,19484,19777,19940,20314,20712,21144,21421,21581,21657,21715,21913,22071,22238,22330,22509,22616,22627,22767,22845,22952,23075,23219,23292,23369,23505,23614,25241,27517,29905,31812,32691,34854,36593,38693,40334,41808,42735,43173,44743,46275,47514,48917,50317,51523,52396,53326,54459,55958,57682,59266,60404,61094,62483,63747,65596,67352,69314,70914,71903,73901,74907,76996,79074,81359,83030,83840,85539,87810,90543,92890,95493,97597,98647,100921,103225,105664,107684,109739,110880,111337,112774,113974,115761,117205,118301,118983,119449,120671,122107,123805,125540,127180,128219,128664,130323,131751,132274,134777,136676,137711,138197,139302,140983,143397,145218,147380,148623,149275,150823,152806,154502,156505,158388,159475,160147,161733,163349,164666,166639,168708,170325,171235,173076,174892,176508,177842,179279,180267,180843,182466,184126,185259,187131,189162,189987,190859,192470,194062,194362,196378,197522,198404,198855,200046,201505,202604,203606,204517,205143,205471,206513,207513,208243,209175,210080,210611,210865,211979,212939,213830,214547,215244,215713,215872,216653,217389,217966,218659,219338,219656,219841,220455,221078,221635,222178,222695,223012,223138,223729,224320,224812,225444,225919,226157,226259,226797,227226,227780,228180,228698,228940,229096,229188,230359,230972,231604,232010,232220,232315,232835,233245,233677,234066,234547,234847,234932,235455,235884,236279,236418,236573,236746,236842,237310,237702,238028,238378,238712,238941,239021,239460,239831,240147,240547,240651,241033,241114,241316,241531,241882,241903,242515,243340,243720,244098,244259,244362,244712,245099,245454,245835,246126,246274,246336,246588,246825,247079,247289,247517,247609,247658,247926,248217,248565,248798,249016,249142,249209,249550,249846,250200,250545,250935,251079,251114,251437,251722,251979,252333,252637,252839,252884,253142,253380,253631,253888,254113,254113,254250,254299,254549,254724,254925,255072,255263,255338,255386,255430,255486,255745,255942,256057,256198,256254,256421,256581,256761,256891,257042,257075,257075,257135,257169,257211,257374,257515,257555,257572,257687,257771,257884,257991,258071,258111,258124,258213,258278,258358,258445,258519,258557,258565,258635,258692,258767,258925,258938,258989,259053,259106,259152,259196,259218,259222,259267,259339,259385,259439,259487
east_kazakhstan,13075,14749,15214,15418,16073,18484,21789,26431,30344,32915,33510,34016,36431,38409,39387,39767,39777,39782,39983,40466,41736,44055,47548,48244,48615,50740,52391,54166,57007,60035,60868,60975,62678,64166,66403,68655,70657,71311,71349,73678,76996,79524,82982,89901,92652,93229,98411,102954,106930,110755,113535,114470,114969,118262,121479,123834,125817,129102,129865,130278,134547,138582,142733,147289,151770,155798,156513,157946,159289,164220,169741,175126,177460,178749,183467,188872,194496,201248,208026,211480,213597,222122,225033,233113,241192,250186,254406,255684,262594,267389,276744,288016,298767,303330,305685,316036,325686,336052,344262,351722,354388,355952,361064,365940,370840,375407,379224,381987,383346,388430,393144,397409,401204,406099,408311,409649,414163,417983,421303,426706,431142,433506,435223,438000,444529,450034,455215,460448,462841,464458,469355,473260,476972,480541,484364,486826,488767,494884,501842,509479,516616,523527,528158,531531,536766,541562,546010,549696,554756,558581,561046,567984,575732,582779,590330,597679,602469,606227,612567,620276,625715,633730,641321,646188,650227,658004,666315,674702,682355,690367,695333,698845,706845,713414,719168,725768,731920,737427,741808,748480,757733,764721,771337,777919,782732,786646,791709,796879,801966,808753,814084,817374,820271,824396,827798,831506,834942,838807,840193,841536,844964,848795,852225,856014,859709,861421,863052,865884,867993,870115,872397,874497,875941,876696,877608,880893,883000,887233,890622,891249,891779,892821,893680,895148,895631,896324,896509,896903,897378,897715,898091,898418,898523,898580,898709,899175,899579,900166,900600,900851,900904,901010,901266,901553,901746,901996,902093,902110,902120,902147,902183,902517,902517,902674,903016,903181,903327,903358,903426,903541,903676,903789,903887,904001,904058,904072,904186,904257,904357,904420,904469,904490,904493,904607,904860,905003,905173,905395,905448,905465,905723,906016,906016,906641,906874,906935,906958,907168,907403,907604,907868,908062,908131,908142,908358,908643,908912,909215,909604,909634,909708,909922,910292,910587,910778,911036,911253,911395,911488,911245,911594,911933,912124,912202,912268,912345,912554,912746,912999,913043,913174,913175,913175,913247,913271,913420,913537,913587,913612,913635,913726,913816,913891,913982,914039,914059,914076,914164,914205,914299,914343,914436,914442,914451,914503,914613,914690,914949,914954,915018,915055,915097,915149,915177,915194,915197,915234,915250,915263,915327,915387
jambyl,13142,14245,14489,14533,15371,17558,20008,22941,24044,24984,25262,25697,26885,27560,28067,28548,28766,28766,29622,30616,31552,32689,34587,35530,35553,36450,37854,39015,40318,41952,42590,42680,43481,44215,45094,45948,47222,47872,47948,49169,50922,52305,54916,57606,59013,59418,64172,68233,71213,74470,77156,78995,79889,83475,86327,89214,91683,94494,95354,96021,98386,100484,102536,104943,108306,110398,111244,112495,113283,116324,119587,122607,124923,125523,128699,132140,135216,139127,142479,144850,145459,149726,150392,155070,160235,165469,168629,169622,175508,179940,185833,190580,196947,200000,201130,207982,213798,219600,223869,228125,230701,231459,234586,238140,241224,244257,246760,248329,248924,251558,254568,257609,259780,262165,263449,263909,267206,269601,271370,275457,277912,279370,280148,280564,284546,288087,291757,294868,296862,297636,301079,304154,306880,309528,312394,314114,314639,317435,320209,322430,325815,329136,331058,331419,334722,338601,341677,345495,348672,350546,351449,354554,358920,362301,366175,369431,370805,370998,374404,376841,377819,381088,383399,384055,384462,387342,390665,394299,398202,402392,404045,404313,407617,411147,414554,417775,421358,422617,422977,426179,428885,430504,433210,434248,435654,435883,437819,440654,442995,445670,448803,450151,450646,453384,456046,459027,462180,464635,465609,466321,468685,471844,473645,476498,479054,479953,480260,483355,485625,488929,491047,493862,495515,496268,497083,502967,503591,506834,510014,511757,512264,514823,517092,518963,520937,523589,524269,524840,526605,528408,530319,530883,532114,533813,533963,536875,539340,541737,545011,547070,548103,548327,549855,551706,554186,555572,556824,557240,557273,557501,557912,559188,559188,560711,562793,564137,565202,567130,567432,568411,569386,571100,573012,574498,575953,577896,583573,587570,590016,591940,594633,596495,596684,599848,601202,602602,603278,604351,604803,605221,606307,607203,608272,608962,609871,610535,610704,611381,612076,612715,613110,613466,613696,613872,614489,615471,616879,617854,618570,618604,619051,619294,620206,620616,621068,621476,621867,622131,622148,622169,622199,622353,622583,623055,623077,623110,623460,623667,623829,624052,624401,624401,624401,624401,624401,624523,624592,624660,624686,624708,625102,625325,625604,625815,625856,625873,625874,626041,626071,626200,626346,626446,626446,626446,626512,626520,626615,626853,626856,627055,627247,627435,627493,627572,627583,627583,627644,627685,627767,627866,627970
west_kazakhstan,9385,10485,12133,12869,15006,17891,19982,20897,21600,21781,21795,21947,22464,22696,22768,22956,23006,23146,23478,24237,25282,26045,27152,27662,27773,28538,29354,29908,30512,30973,31091,31151,31696,32248,32851,33387,34016,34182,34248,34768,35176,35474,35843,36210,36339,36395,36754,37002,39594,44543,47690,49218,49744,52534,54468,56328,57619,58806,59478,59948,61459,62977,63965,65338,66629,67569,68016,68615,69087,70213,71502,73033,73789,74142,75657,77272,79095,80970,82745,83668,84197,86464,87274,89498,91957,94362,96369,97407,100208,102349,105588,108605,112063,113840,114747,118786,122632,125588,127962,130493,131426,132021,134136,135659,137443,138911,140542,141351,141782,143564,145038,146588,148013,149425,150132,150432,152372,153814,154322,157033,158875,159863,160289,161113,163886,165653,167514,169344,170360,170758,172628,174040,175525,176686,178157,178864,179228,180678,181989,183091,184311,185500,186054,186381,187246,188464,189536,190469,191493,192021,192330,193587,194994,196208,197128,198168,198762,198942,199967,200971,201258,202601,203269,203618,203819,204781,205489,206217,206850,207503,207800,207976,208729,209448,210053,210681,211309,211657,211835,212537,213188,213838,214499,215135,215431,215558,216287,217144,217778,218450,219082,219415,219544,220226,220924,221654,222344,223019,223313,223462,224304,225042,225644,226260,226833,227055,227189,227811,228381,228971,229452,229921,230163,230317,230456,231592,231820,232484,233230,233462,233593,234274,234829,235500,236067,236540,236672,236780,237275,237700,238158,238321,238453,238606,238752,239316,239848,240240,240604,240935,241060,241165,241608,242026,242382,242674,242747,242981,243054,243145,243300,243522,244049,244349,244982,245373,245683,245777,245847,246194,246604,246935,247308,247623,247721,247791,248044,248318,248551,248727,248892,248959,249011,249328,249660,250066,250489,251083,251299,251440,251985,252426,253057,253515,254021,254242,254329,254888,255343,255753,256118,256650,257006,257066,257628,258037,258373,258781,258989,259009,259251,259335,259674,259979,260244,260536,260714,260877,260961,261054,261127,261488,261789,262072,262194,262241,262498,262734,263000,263247,263478,264401,263549,263673,263704,263868,264129,264441,264491,264541,264783,264920,265089,265296,265379,265425,265473,265612,265687,265793,265868,265965,266011,266038,266205,266295,266415,266760,266825,266940,267073,267183,267337,267457,267512,267525,267645,267709,267791,267872,267966
