region_en,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02
nursultan,,2552,1714,1253,2858,4557,4848,4426,2621,2246,918,2185,6543,4027,2953,4019,1868,876,3169,2810,2752,2372,2909,1244,713,1470,1820,1660,1578,1398,819,400,1153,1280,1274,1461,1844,1317,780,2809,2347,2021,2114,2234,1374,680,2428,1869,1835,1669,2029,1343,1007,2184,2065,1911,1963,2372,1610,951,2703,2124,1894,1793,1993,1418,554,1013,768,2726,2951,3527,2227,1318,3492,3334,3547,4167,4691,2965,1252,4538,1930,4516,3604,5073,2291,1737,4829,4051,4773,4846,5532,3908,2306,5954,5693,5135,3974,4224,1965,1361,3928,2990,2941,2324,2734,1702,922,2824,2115,2441,2154,2591,1508,1433,3177,2791,1497,3867,3002,2235,1552,2171,4137,3396,2973,2857,1904,1138,3052,3010,2504,2296,1995,1578,849,2192,1817,1732,1584,1670,1357,934,1699,2023,1787,1473,1578,1348,843,2110,1718,1560,1373,1272,1043,666,1447,1094,769,1480,1013,718,610,1069,946,827,725,740,556,371,816,703,689,590,534,439,291,709,587,545,591,401,495,270,616,564,568,516,634,415,279,775,675,596,737,740,574,272,958,872,906,707,664,360,293,941,628,684,551,603,398,354,469,1422,406,787,782,455,265,783,792,651,748,616,396,253,669,519,520,196,209,248,185,697,539,454,490,393,238,164,457,437,394,325,136,57,99,201,204,854,69,402,522,300,334,222,102,294,315,0,374,261,133,103,277,282,307,239,168,115,68,389,303,368,330,401,0,112,525,495,542,488,480,246,151,677,663,597,673,483,493,163,330,444,417,332,399,3,208,146,466,358,415,347,378,225,180,131,241,514,436,413,244,174,576,411,432,178,374,112,0,272,155,283,345,431,195,152,440,347,379,269
almaty,,7055,9876,5976,9161,10180,9627,9015,7681,4861,2339,5814,8075,4674,4577,4328,3566,2161,4496,4226,3956,3885,4057,2066,1367,2620,2497,2388,2309,2280,1759,1177,1640,1691,1688,2078,2311,2043,1808,3089,3250,2311,3917,5406,4226,2885,5063,4666,4942,4287,4881,3528,2460,4853,3349,4176,3989,3878,2835,2607,4464,4779,4254,5404,5830,4833,2789,3147,3043,5833,5931,6224,3298,2514,4321,4053,4957,6767,7902,5837,4967,9544,5248,10637,10835,14384,10038,6989,13193,11282,13127,12366,10117,10004,8261,12059,14637,12953,9574,9126,6865,4457,6583,6958,5762,5520,5688,3543,2387,5597,5588,6418,5825,6362,5404,3759,8205,7671,4241,10709,7477,4152,3787,3662,9412,7820,7287,6874,4060,2760,6522,6815,6421,5831,5028,3305,2015,4696,4333,3347,4290,4051,2989,1530,3223,3943,3949,3367,3713,2334,1745,5132,4530,4349,4339,3462,2244,1132,3535,3678,1677,4563,2459,1597,811,3231,2762,2486,2524,2813,1306,732,3155,2688,2454,2315,2111,1282,824,2532,2283,2117,2858,1246,1927,657,1936,2372,1933,1812,1667,969,566,1691,2092,1654,1474,1340,870,503,1665,1801,1655,1418,1224,707,202,1432,1152,1675,1243,1169,635,310,640,2591,688,1422,1379,690,340,1381,1605,1268,1365,1109,560,301,1289,1286,1507,464,453,412,316,1738,1429,1309,1520,1433,519,297,1146,1571,1111,1006,491,439,238,374,501,764,672,758,1738,1522,1129,1020,505,1043,1470,0,1299,1036,539,277,1048,746,704,730,423,330,241,538,507,760,741,1099,0,348,1351,1234,1447,1445,1060,689,379,1271,1196,903,1296,1281,1039,382,198,1130,935,1015,900,0,536,494,1028,785,780,874,588,380,183,272,207,882,719,1225,337,230,767,743,934,621,861,152,0,443,175,371,702,614,272,78,457,365,486,515
shyment,,1018,1858,2292,3804,4766,5306,7121,5735,3652,2571,2852,4899,2531,1585,1658,913,232,1707,1662,1229,1753,2140,972,2,1521,1024,912,1052,859,412,79,2234,2173,2061,2158,2049,1272,863,2438,3284,2567,3378,3338,2025,1258,3853,3598,3080,3049,3704,2471,940,3690,3065,2251,2498,2487,1558,1210,3898,3751,3263,3465,3900,3831,1264,1816,1744,3440,3916,3701,1690,2216,3185,3833,4097,3813,3978,2248,1625,3880,1487,4786,4947,5648,3626,2495,6047,4651,4979,5484,5422,4043,2246,5489,5416,5223,4922,5147,2969,1841,4125,3845,3903,3312,3292,1789,882,2966,2931,2495,2462,2415,1401,932,3006,3101,803,4364,3088,1643,1068,1265,3477,2786,2599,3038,1464,893,2548,2598,2440,2352,2049,1182,586,2234,2207,2303,2182,2301,1167,802,2543,2636,2315,2748,2294,1185,721,2579,2997,2717,2966,2623,1336,613,3507,4192,1203,7316,4071,2208,1391,4507,4391,3996,4267,4102,2063,706,3721,3895,3590,4265,3405,1540,1160,3528,2871,2430,2194,2440,1062,791,1481,1676,986,609,697,453,161,733,1128,1413,1205,1068,525,379,1210,1397,782,1592,1309,531,341,821,783,804,668,571,339,85,68,1609,340,1489,1494,1007,579,1491,1672,1439,1248,1263,464,398,1234,1639,1220,571,599,662,319,1991,2230,1474,1528,1181,408,294,1162,1482,1519,1200,323,434,45,228,175,328,772,226,549,573,395,303,148,189,501,0,371,222,212,19,152,214,200,228,100,53,7,182,198,206,268,181,0,15,97,222,124,138,251,49,12,179,210,158,174,206,47,12,170,414,445,354,279,0,93,9,183,202,208,215,253,86,28,36,35,223,101,292,32,10,172,211,253,116,129,15,0,28,25,53,143,120,70,13,101,84,83,92
akmola,,810,601,415,887,1765,2101,2331,923,403,38,168,1130,571,578,529,22,13,118,550,697,1723,1970,905,107,1721,1078,1165,1096,1077,523,229,780,831,675,1052,851,309,51,882,1149,874,1350,2448,880,620,2897,3000,1952,1587,1553,728,351,2168,1959,1475,1300,1411,412,450,1274,1321,1557,1622,1836,1152,427,513,306,2085,2156,2321,1274,597,2239,2360,2742,2891,3144,1583,955,3670,1559,4130,3347,3786,2097,1138,3648,2993,4283,4256,4436,2668,1299,4894,4799,4515,3587,3464,1583,1257,2957,2516,2581,2337,2260,1379,707,2178,1919,2293,2001,1763,952,657,2253,2120,1366,2577,1973,1265,545,712,2804,2172,2450,2239,1371,505,2080,1915,2130,1933,1462,988,330,1823,1625,1297,1475,1375,793,357,1026,1286,1154,1084,1158,528,307,1203,1455,1377,1258,1129,517,263,1105,972,712,1198,738,468,244,994,889,783,820,618,362,149,817,627,559,557,624,375,165,672,600,641,485,489,288,94,459,610,647,519,573,347,150,644,626,604,541,567,316,174,491,632,570,532,542,295,141,592,381,585,443,446,213,130,223,980,188,625,588,209,153,598,480,580,483,484,176,93,437,543,629,183,150,229,147,884,941,822,878,855,510,242,983,1133,940,892,560,200,104,159,350,2071,848,806,1319,777,980,491,310,686,646,0,588,643,377,143,447,527,569,518,826,440,221,586,485,554,439,642,0,211,642,599,566,628,648,346,198,644,664,537,795,543,283,177,640,650,682,518,468,37,341,305,890,447,342,417,392,240,135,120,96,443,351,382,158,182,292,381,475,242,274,36,0,192,67,203,307,439,91,89,278,207,232,230
aktobe,,996,624,148,1014,2654,2966,2257,1575,691,296,617,1848,931,754,588,136,69,542,602,1130,1388,1157,340,186,1207,1106,736,615,586,291,78,361,411,550,463,796,300,161,642,557,581,1646,2128,1459,949,2773,2535,2473,2172,1568,1597,788,2259,1627,1713,1545,1826,1063,611,1968,1655,1579,1807,1509,1122,742,876,839,1890,2184,2124,1539,845,1859,1917,1979,2139,2600,1824,1317,2382,1261,2696,3072,2957,2566,1137,3082,2862,3250,3887,4811,3277,1970,4858,5177,5321,4327,4051,2534,1893,3417,3383,3206,2743,3123,1607,1430,2620,2411,2186,2263,2026,1243,686,2418,2232,986,3153,2221,1715,1094,1629,2764,3143,2954,2611,1657,729,2021,1864,1493,1483,1349,762,484,1401,1421,1314,1436,2221,2116,1222,2372,2447,2326,1726,1471,961,711,1584,1502,1653,2263,1468,1107,643,1855,1538,385,2167,1395,972,411,1457,1410,1161,1152,1301,518,408,1341,1059,1117,1037,877,486,318,968,1056,946,811,806,548,367,981,992,970,891,1025,426,281,1137,1021,763,858,775,431,205,936,903,941,796,778,374,155,856,722,758,603,629,288,89,154,1346,209,777,605,283,136,716,756,786,717,590,400,181,876,614,741,273,307,292,117,981,804,508,853,726,261,215,622,804,530,602,133,375,62,205,222,415,525,520,1002,550,569,429,263,717,741,0,702,657,458,252,677,806,723,512,288,206,161,562,628,583,555,873,0,247,677,663,870,697,509,293,154,617,577,687,530,640,287,162,723,708,669,561,634,5,214,102,678,496,417,415,347,249,92,141,113,567,589,397,252,89,566,549,759,583,677,93,0,318,219,333,650,1163,180,170,607,638,1340,1233
almaty_region,,702,1424,3737,4326,7604,9700,10661,4982,4192,2025,2606,7143,4111,6120,2489,983,366,3054,3537,3181,3350,3556,1406,510,3006,2217,3206,2558,2056,720,128,1692,2659,1155,2045,1854,1068,784,2904,1840,3118,3139,3835,3017,1537,4682,4574,4284,3364,2669,1804,1113,3132,2050,3282,2821,3172,1998,1020,3083,3921,2738,4257,4630,3908,1616,3108,1832,3851,4283,4739,3570,1505,3977,4414,4621,4659,5015,3175,2429,6889,2550,8430,7962,8591,7249,3740,9837,9151,11463,10101,9729,9841,4220,10993,11928,10338,8530,8517,5726,3531,6694,7869,6961,6115,5757,3734,2322,5642,5055,4590,4186,4515,2849,1574,4698,5115,3128,6858,6251,3717,2944,2937,6730,6154,5313,5101,2836,1417,3912,3428,2935,3584,3174,1795,1395,3129,3081,2932,3362,6789,4531,1815,4395,4553,3992,3387,3315,2427,1030,3636,4681,4828,4596,4364,2012,1443,3975,3589,1980,4124,3204,1794,1109,3161,2849,3235,2649,2800,1511,980,2895,2356,2501,2205,2149,1524,684,2341,2606,1936,2147,2200,1690,715,2416,2667,2125,2192,2174,992,726,2379,2280,2153,2159,1993,1371,555,2311,1895,2035,2357,1753,1169,610,2181,1480,2067,1521,2093,1197,671,738,3660,712,2353,2303,1440,693,1884,2145,1934,1929,1714,1073,705,2248,1903,1780,595,743,1134,487,1945,1752,1279,1377,1894,1529,898,2023,1952,1705,2004,971,515,538,824,769,2468,635,1178,2117,1644,1848,999,495,1294,1671,0,1578,1763,702,528,1087,1282,1323,1107,956,380,265,945,1019,1375,1371,1580,0,563,1950,1566,2025,1526,1979,889,574,1948,1733,1391,2003,1255,979,363,1354,1562,1527,2275,1496,242,837,668,1564,1627,1047,1435,1057,1295,614,814,297,1822,2533,1876,1928,936,1992,2151,2978,2298,2246,1394,0,1810,95,760,885,1691,819,882,1322,974,997,1116
atyrau,,539,284,506,822,1000,1185,994,992,695,516,122,140,57,27,58,6,82,182,600,1471,1862,883,293,163,374,398,432,277,160,76,58,198,158,167,92,179,107,11,140,78,107,123,144,73,77,136,109,1627,2276,2388,1907,879,2163,1739,2100,1641,1474,927,438,1570,1532,1239,1403,1400,1206,873,930,1133,1499,1724,1584,1138,690,1389,1264,1849,1756,1962,1600,989,1998,1006,2089,2078,2285,1671,810,1699,2271,2733,2347,2603,2104,1050,2274,2304,2439,2020,2055,1141,457,1437,1200,1787,1444,1096,682,466,1222,1436,1698,1735,1640,1039,445,1659,1428,523,2503,1899,1035,486,1105,1681,2414,1821,2162,1243,652,1548,1983,1696,2003,1883,1087,672,1586,1616,1317,1973,2069,1617,910,1841,1816,1616,1334,1437,988,576,1623,1660,1133,1872,2031,825,872,1611,1592,300,2016,1144,882,451,1191,1459,1099,1002,911,626,328,1042,1000,730,932,905,531,254,1114,960,891,717,697,469,159,781,736,577,693,679,318,185,614,623,557,543,517,317,126,591,591,492,632,475,238,102,538,429,554,400,518,242,156,92,1171,613,632,406,210,95,520,410,432,389,481,300,85,523,429,395,139,155,173,96,468,392,326,350,334,229,80,439,371,316,400,104,382,81,202,215,351,21,612,825,380,378,161,103,350,387,0,381,291,148,62,252,237,254,210,228,92,49,268,291,348,233,218,0,67,341,296,354,345,390,144,35,323,285,257,354,304,202,45,258,238,251,257,225,0,137,49,250,175,201,147,191,75,48,44,56,259,197,115,141,56,167,160,180,130,151,33,0,60,34,42,163,141,40,17,115,84,113,107
east_kazakhstan,,1674,465,204,655,2411,3305,4642,3913,2571,595,506,2415,1978,978,380,10,5,201,483,1270,2319,3493,696,371,2125,1651,1775,2841,3028,833,107,1703,1488,2237,2252,2002,654,38,2329,3318,2528,3458,6919,2751,577,5182,4543,3976,3825,2780,935,499,3293,3217,2355,1983,3285,763,413,4269,4035,4151,4556,4481,4028,715,1433,1343,4931,5521,5385,2334,1289,4718,5405,5624,6752,6778,3454,2117,8525,2911,8080,8079,8994,4220,1278,6910,4795,9355,11272,10751,4563,2355,10351,9650,10366,8210,7460,2666,1564,5112,4876,4900,4567,3817,2763,1359,5084,4714,4265,3795,4895,2212,1338,4514,3820,3320,5403,4436,2364,1717,2777,6529,5505,5181,5233,2393,1617,4897,3905,3712,3569,3823,2462,1941,6117,6958,7637,7137,6911,4631,3373,5235,4796,4448,3686,5060,3825,2465,6938,7748,7047,7551,7349,4790,3758,6340,7709,5439,8015,7591,4867,4039,7777,8311,8387,7653,8012,4966,3512,8000,6569,5754,6600,6152,5507,4381,6672,9253,6988,6616,6582,4813,3914,5063,5170,5087,6787,5331,3290,2897,4125,3402,3708,3436,3865,1386,1343,3428,3831,3430,3789,3695,1712,1631,2832,2109,2122,2282,2100,1444,755,912,3285,2107,4233,3389,627,530,1042,859,1468,483,693,185,394,475,337,376,327,105,57,129,466,404,587,434,251,53,106,256,287,193,250,97,17,10,27,36,334,0,157,342,165,146,31,68,115,135,0,98,114,57,14,114,71,100,63,49,21,3,114,253,143,170,222,0,17,258,293,0,625,233,61,23,210,235,201,264,194,69,11,216,285,269,303,389,30,74,214,370,295,191,258,217,142,93,-243,349,339,191,78,66,77,209,192,253,44,131,1,0,72,24,149,117,50,25,23,91,90,75,91
jambyl,,1103,244,44,838,2187,2450,2933,1103,940,278,435,1188,675,507,481,218,0,856,994,936,1137,1898,943,23,897,1404,1161,1303,1634,638,90,801,734,879,854,1274,650,76,1221,1753,1383,2611,2690,1407,405,4754,4061,2980,3257,2686,1839,894,3586,2852,2887,2469,2811,860,667,2365,2098,2052,2407,3363,2092,846,1251,788,3041,3263,3020,2316,600,3176,3441,3076,3911,3352,2371,609,4267,666,4678,5165,5234,3160,993,5886,4432,5893,4747,6367,3053,1130,6852,5816,5802,4269,4256,2576,758,3127,3554,3084,3033,2503,1569,595,2634,3010,3041,2171,2385,1284,460,3297,2395,1769,4087,2455,1458,778,416,3982,3541,3670,3111,1994,774,3443,3075,2726,2648,2866,1720,525,2796,2774,2221,3385,3321,1922,361,3303,3879,3076,3818,3177,1874,903,3105,4366,3381,3874,3256,1374,193,3406,2437,978,3269,2311,656,407,2880,3323,3634,3903,4190,1653,268,3304,3530,3407,3221,3583,1259,360,3202,2706,1619,2706,1038,1406,229,1936,2835,2341,2675,3133,1348,495,2738,2662,2981,3153,2455,974,712,2364,3159,1801,2853,2556,899,307,3095,2270,3304,2118,2815,1653,753,815,5884,624,3243,3180,1743,507,2559,2269,1871,1974,2652,680,571,1765,1803,1911,564,1231,1699,150,2912,2465,2397,3274,2059,1033,224,1528,1851,2480,1386,1252,416,33,228,411,1276,0,1523,2082,1344,1065,1928,302,979,975,0,1912,1486,1455,1943,5677,3997,2446,1924,2693,1862,189,3164,1354,1400,676,1073,-645,418,1086,896,1069,690,909,664,169,677,695,639,395,356,230,176,617,982,1408,975,716,34,447,243,912,410,452,408,391,264,17,21,30,154,230,472,22,33,350,207,162,223,349,0,0,0,0,122,69,68,26,22,394,223,279,211
west_kazakhstan,,1100,1648,736,2137,2885,2091,915,703,181,14,152,517,232,72,188,50,140,332,759,1045,763,1107,510,111,765,816,554,604,461,118,60,545,552,603,536,629,166,66,520,408,298,369,367,129,56,359,248,2592,4949,3147,1528,526,2790,1934,1860,1291,1187,672,470,1511,1518,988,1373,1291,940,447,599,472,1126,1289,1531,756,353,1515,1615,1823,1875,1775,923,529,2267,810,2224,2459,2405,2007,1038,2801,2141,3239,3017,3458,1777,907,4039,3846,2956,2374,2531,933,595,2115,1523,1784,1468,1631,809,431,1782,1474,1550,1425,1412,707,300,1940,1442,508,2711,1842,988,426,824,2773,1767,1861,1830,1016,398,1870,1412,1485,1161,1471,707,364,1450,1311,1102,1220,1189,554,327,865,1218,1072,933,1024,528,309,1257,1407,1214,920,1040,594,180,1025,1004,287,1343,668,349,201,962,708,728,633,653,297,176,753,719,605,628,628,348,178,702,651,650,661,636,296,127,729,857,634,672,632,333,129,682,698,730,690,675,294,149,842,738,602,616,573,222,134,622,570,590,481,469,242,154,139,1136,228,664,746,232,131,681,555,671,567,473,132,108,495,425,458,163,132,153,146,564,532,392,364,331,125,105,443,418,356,292,73,234,73,91,155,222,527,300,633,391,310,94,70,347,410,0,373,315,98,70,253,274,233,176,165,67,52,317,332,406,423,594,0,141,545,441,631,458,506,221,87,559,455,410,365,532,356,60,562,409,336,408,208,20,242,84,339,305,265,292,178,163,84,93,73,361,301,283,122,47,257,236,266,247,231,923,-852,124,31,164,261,312,50,50,242,137,169,207
